Unnamed: 0,Insider_Name,Insider_Title,Buy_or_Sell,Ticker,Price,Quantity,Value,Number_Owned,Change_in_Number_Owned,Filing_Date,Trade_Date
270,Fletcher R John,Chairman of the Board,P - Purchase,KRMD,$4.30,"+25,000","+$107,500","82,990",+43%,2021-05-18 16:17:51,2021-05-17
271,Knight Cecil W. Jr,Chief Banking Officer,S - Sale,HWC,$50.07,-725,"-$36,301","23,625",-3%,2021-05-18 16:16:27,2021-05-14
272,Bancel Stephane,CEO,S - Sale,MRNA,$156.64,"-11,046","-$1,730,254","22,800,228",0%,2021-05-18 16:16:22,2021-05-14
273,Farrer Cynthia D,"VP - Global Ops, ISC",S - Sale+OE,ALLE,$141.00,"-1,740","-$245,340","3,268",-35%,2021-05-18 16:16:18,2021-05-14
274,Petro Joseph Carl,"EVP, CTO",S - Sale,NUAN,$52.78,"-50,822","-$2,682,162","142,384",-26%,2021-05-18 16:15:47,2021-05-14
275,Culang Howard Bernard,Dir,S - Sale,RDN,$22.87,"-9,962","-$227,876","8,050",-55%,2021-05-18 16:15:27,2021-05-14
276,Watzinger Gerhard,Dir,S - Sale+OE,CRWD,$187.47,"-5,000","-$937,350","1,785",-74%,2021-05-18 16:15:25,2021-05-14
277,Ming Jenny J,Dir,S - Sale,LEVI,$29.13,"-14,547","-$423,754","89,351",-14%,2021-05-18 16:13:52,2021-05-17
278,Ziluca Christopher S,Chief Credit Officer,S - Sale,HWC,$50.00,"-1,822","-$91,100","13,802",-12%,2021-05-18 16:13:40,2021-05-14
279,Miles Darrin,Chief Commercial Officer,S - Sale,AGIO,$55.41,"-3,462","-$191,829","7,209",-32%,2021-05-18 16:11:40,2021-05-14
280,Toussaint Claudia S,"SVP,CSO,GC, Corp Sec",S - Sale+OE,XYL,$117.47,"-5,948","-$698,679","53,109",-10%,2021-05-18 16:10:48,2021-05-17
281,Parize Isabelle,Dir,P - Purchase,COTY,$8.90,"+11,000","+$97,900","36,225",+44%,2021-05-18 16:10:40,2021-05-17
282,Hassenfeld Alan G,Dir,S - Sale,HAS,$95.80,"-300,000","-$28,739,843","7,228,204",-4%,2021-05-18 16:10:21,2021-05-14
283,Berry Michael J,Dir,S - Sale+OE,RPD,$79.77,"-12,384","-$987,818","6,739",-65%,2021-05-18 16:09:48,2021-05-17
284,Paxton Robert,See Remarks,S - Sale,DOOR,$123.00,"-2,312","-$284,376","15,389",-13%,2021-05-18 16:09:30,2021-05-14
285,Huddle William G,Dir,S - Sale,LCNB,$18.13,"-3,000","-$54,399","170,963",-2%,2021-05-18 16:08:43,2021-05-14
286,Lewis Robert Edgar,See Remarks,S - Sale,DOOR,$122.51,"-1,089","-$133,413","24,693",-4%,2021-05-18 16:08:28,2021-05-18
287,Liawatidewi Yakob,SVP Corp Admin Center,S - Sale+OE,AMPH,$19.98,"-12,823","-$256,140","56,032",-19%,2021-05-18 16:06:23,2021-05-14
288,Grossi Federico,CHIEF MEDICAL OFFICER,S - Sale,APLS,$45.39,-500,"-$22,695","55,430",-1%,2021-05-18 16:06:16,2021-05-14
289,Howley W Nicholas,Exec. COB,S - Sale+OE,TDG,$592.04,"-11,500","-$6,808,439","21,548",-35%,2021-05-18 16:06:04,2021-05-17
290,Machiels Alec,Dir,S - Sale+OE,APLS,$45.39,"-2,500","-$113,475","671,494",0%,2021-05-18 16:05:28,2021-05-14
291,Perlmutter Andrew Mark,Pres,S - Sale,FNKO,$24.48,"-15,000","-$367,128","121,959",-11%,2021-05-18 16:05:13,2021-05-14
292,Rhodes Jennifer J,See Remarks,S - Sale,ANGN,$13.92,-440,"-$6,125","33,447",-1%,2021-05-18 16:04:40,2021-05-14
293,Van Biert Eugene Jr.,Chief Revenue Officer,S - Sale,DCT,$36.32,"-13,650","-$495,796","226,642",-6%,2021-05-18 16:04:33,2021-05-17
294,Stahl Neil,"EVP Research, Development",S - Sale+OE,REGN,$519.46,"-17,521","-$9,101,460","39,201",-31%,2021-05-18 16:04:14,2021-05-17
295,Cota Germaine,"Chief Accting Officer, Treasur",S - Sale,EGHT,$23.60,"-1,466","-$34,601","49,283",-3%,2021-05-18 16:03:37,2021-05-17
296,Maroney Patrick,Dir,P - Purchase,UIHC,$5.85,"+8,400","+$49,140","52,250",+19%,2021-05-18 16:03:05,2021-05-18
297,Edwards Harold S,"Pres, CEO",S - Sale,LMNR,$18.88,"-1,000","-$18,877","159,611",-1%,2021-05-18 16:01:13,2021-05-17
298,Palamountain Mark,"CFO, Treasurer, Secretary",S - Sale,LMNR,$18.83,-650,"-$12,238","60,337",-1%,2021-05-18 16:00:38,2021-05-17
299,Chernick Rose M,"VP, Controller",S - Sale,PEG,$62.64,-400,"-$25,056","33,790",-1%,2021-05-18 15:58:58,2021-05-17
300,Montross Scott J,"Pres, CEO",S - Sale+OE,NWPX,$31.68,-400,"-$12,671","92,974",0%,2021-05-18 15:56:09,2021-05-14
301,Schiff Charles Odell,Dir,S - Sale,CINF,$119.82,"-10,100","-$1,210,207","1,508,937",-1%,2021-05-18 15:51:56,2021-05-14
302,Fallon Kieran John,EVP,S - Sale,PNC,$198.24,-125,"-$24,780","8,793",-1%,2021-05-18 15:48:10,2021-05-17
303,Fowler Christopher L,"COO, Pres (TruBridge)",S - Sale,CPSI,$32.00,"-5,000","-$160,000","53,838",-8%,2021-05-18 15:43:15,2021-05-17
304,Simpson Georgia M,VP-Information Technology,S - Sale,MSEX,$80.81,-649,"-$52,446","2,596",-20%,2021-05-18 15:38:21,2021-05-18
305,Daino Robert,COO,S - Sale+OE,ACRG.,$3.68,"-2,325","-$8,547","1,535,167",0%,2021-05-18 15:36:32,2021-05-14
306,Nanji Farhad,Dir,P - Purchase,PFSI,$60.44,"+182,798","+$11,048,912","2,530,049",+8%,2021-05-18 15:36:12,2021-05-14
307,Gantz Eric John,"SVP, CCO-Farmers National Bank",P - Purchase,EMCF,$28.18,+170,"+$4,791","3,011",+6%,2021-05-18 15:33:49,2021-05-18
308,Groves Daniel R,"VP, Culture, Engagement",S - Sale+OE,KOP,$35.26,"-17,211","-$606,860","16,455",-51%,2021-05-18 15:31:41,2021-05-17
309,McCabe Brian K,COO,S - Sale+OE,SBSI,$43.15,"-2,681","-$115,685","34,810",-7%,2021-05-18 15:31:05,2021-05-17
310,Doherty James A III,GC,S - Sale+OE,ACRG.,$3.68,"-2,168","-$7,969","1,227,934",0%,2021-05-18 15:30:47,2021-05-14
311,"Mfn Partners, LP",Dir,P - Purchase,PFSI,$60.44,"+182,798","+$11,048,912","2,359,520",+8%,2021-05-18 15:27:39,2021-05-14
312,Shinn John,"SVP, GC",S - Sale,RMBS,$18.43,"-2,037","-$37,542","38,902",-5%,2021-05-18 15:21:00,2021-05-17
313,Scott Randal W.,Dir,P - Purchase,TLIS,$10.13,"+20,000","+$202,650","1,722,565",+1%,2021-05-18 15:19:03,2021-05-14
314,Schwab Charles R,COB,S - Sale,SCHW,$72.64,"-70,000","-$5,085,080","117,904,258",0%,2021-05-18 15:09:46,2021-05-17
315,Jewkes Roger S,COO,S - Sale,FNF,$46.64,"-30,000","-$1,399,167","635,473",-5%,2021-05-18 14:56:59,2021-05-18
316,Hagedorn James,"COB, CEO, 10%",S - Sale+OE,SMG,$229.02,"-50,224","-$11,502,151","1,912,379",-3%,2021-05-18 14:53:11,2021-05-14
317,Nelson Bradley M.,"SVP, Pres Commercial Segment",S - Sale+OE,OSK,$134.76,"-19,075","-$2,570,519","26,222",-42%,2021-05-18 14:01:24,2021-05-14
318,Devilliers David H Jr,Pres,S - Sale+OE,FRPH,$58.08,"-1,500","-$87,115","31,858",-4%,2021-05-18 13:58:20,2021-05-17
319,Peters Valerie A,"VP, HR",S - Sale+OE,OLN,$46.06,"-24,600","-$1,133,076","11,111",-69%,2021-05-18 13:37:45,2021-05-14
320,Peterson Douglas L.,"CEO, Pres",S - Sale+OE,SPGI,$379.06,"-7,000","-$2,653,382","154,423",-4%,2021-05-18 13:34:57,2021-05-14
321,Kahle John H,VP,S - Sale,KE,$22.05,"-3,500","-$77,158","186,195",-2%,2021-05-18 13:17:23,2021-05-14
322,Summers Grady,Dir,P - Purchase,ARLO,$6.12,+227,"+$1,389","131,892",0%,2021-05-18 13:01:11,2021-05-17
323,Guillemin Evan,Dir,S - Sale,MLAB,$244.25,-720,"-$175,860","30,595",-2%,2021-05-18 12:49:41,2021-05-17
324,Brottem John L.,GC,S - Sale+OE,OM,$42.34,"-3,500","-$148,192","14,672",-19%,2021-05-18 12:38:58,2021-05-17
325,Collar Gary L,"SVP - GM, APA",S - Sale+OE,AGCO,$147.51,"-20,000","-$2,950,196","75,158",-21%,2021-05-18 12:33:18,2021-05-17
326,Sheets Justin D,"VP, GC",S - Sale+OE,MTRX,$12.46,"-2,000","-$24,915","43,177",-4%,2021-05-18 12:33:10,2021-05-14
327,Wright Robert R,Dir,S - Sale,EXPD,$118.50,"-4,500","-$533,250","7,920",-36%,2021-05-18 12:32:52,2021-05-14
328,Cavanah Kevin S,"VP Finance, CFO",S - Sale+OE,MTRX,$12.37,"-16,850","-$208,458","107,237",-14%,2021-05-18 12:32:39,2021-05-14
329,Bock William G,Dir,S - Sale,SLAB,$123.29,"-1,000","-$123,290","35,219",-3%,2021-05-18 12:31:46,2021-05-17
330,Total Marketing Services S.A.,10%,S - Sale,CLNE,$8.10,"-700,000","-$5,667,420","49,748,387",-1%,2021-05-18 12:27:48,2021-05-14
331,Rahilly Sean,"GC, Secretary",S - Sale,ENVA,$36.51,"-1,430","-$52,209","87,933",-2%,2021-05-18 12:21:17,2021-05-17
332,Gibson James Thomas,Dir,S - Sale,STBA,$34.00,"-49,027","-$1,666,933","117,104",-30%,2021-05-18 12:06:46,2021-05-17
333,Siegel Kenneth I,SVP,S - Sale+OE,L,$58.50,"-11,029","-$645,197","6,993",-61%,2021-05-18 12:04:17,2021-05-17
334,Stahl Murray,Dir,P - Purchase,TPL,"$1,650.00",+29,"+$47,850","376,199",0%,2021-05-18 11:52:49,2021-05-17
335,Bagwell Lee,EVP,P - Purchase,CBAN,$17.14,"+3,028","+$51,900","14,521",+26%,2021-05-18 11:52:17,2021-05-14
336,Nguyen Kim,Dir,P - Purchase,VNRX,$3.20,"+2,000","+$6,400","48,056",+4%,2021-05-18 11:40:19,2021-05-14
337,Innes Guy Archibald,Dir,P - Purchase,VNRX,$3.35,"+150,000","+$502,500","1,940,701",+8%,2021-05-18 11:37:12,2021-05-14
338,Henderson Molly,CFO,P - Purchase,URGN,$15.85,"+2,500","+$39,625","2,500",New,2021-05-18 11:36:39,2021-05-17
339,Smith Jason Drew,GC,P - Purchase,URGN,$15.71,"+2,500","+$39,275","2,500",New,2021-05-18 11:35:11,2021-05-17
340,"Video River Networks, Inc.","Pres, CEO, 10%",P - Purchase,NIHK,$0.06,"+550,000","+$30,800","31,511,230",+2%,2021-05-18 11:28:55,2021-05-14
341,Ehst Richard A,"Pres, COO",S - Sale,CUBI,$34.67,"-5,166","-$179,096","71,146",-7%,2021-05-18 11:16:17,2021-05-14
342,Fila Holdings Corp.,"Dir, 10%",S - Sale,GOLF,$48.68,"-650,000","-$31,642,000","37,803,827",-2%,2021-05-18 11:10:20,2021-05-17
343,Newcity Michael E,SVP - Chf Innovation Offcr(1),S - Sale,ARCB,$83.58,"-6,669","-$557,380","42,200",-14%,2021-05-18 10:58:12,2021-05-17
344,Garner Todd W,"EVP, CFO",S - Sale,CNMD,$141.19,"-1,257","-$177,476","3,632",-26%,2021-05-18 10:43:58,2021-05-14
345,Costa Donn C,EVP Home Lending,S - Sale,FSBW,$70.35,"-12,618","-$887,700","47,608",-21%,2021-05-18 10:32:24,2021-05-14
346,Sharry Sheryl G,ESOP Trustee,P - Purchase,BKSC,$20.74,"+2,300","+$47,698","114,126",+2%,2021-05-18 10:25:09,2021-05-17
347,Sass Douglas H,EVP,P - Purchase,BKSC,$20.74,"+2,300","+$47,698","52,725",+5%,2021-05-18 10:22:04,2021-05-17
348,Hassell Fleetwood S,Pres,P - Purchase,BKSC,$20.74,"+2,300","+$47,698","126,301",+2%,2021-05-18 10:11:42,2021-05-17
349,Mattera Vincent D Jr,CEO,S - Sale,IIVI,$63.10,"-8,500","-$536,339","377,387",-2%,2021-05-18 10:08:58,2021-05-17
350,Walpole Eugene H IV,EVP,P - Purchase,BKSC,$20.74,"+2,300","+$47,698","27,508",+9%,2021-05-18 10:06:26,2021-05-17
351,Dye David A,Chief Growth Officer,S - Sale,CPSI,$32.13,-400,"-$12,852","138,597",0%,2021-05-18 09:58:17,2021-05-17
352,Westbrook Hunter,"SEVP, COO",S - Sale+OE,HTBI,$28.50,"-5,000","-$142,500","67,166",-7%,2021-05-18 09:57:08,2021-05-14
353,Quadracci J Joel,"COB, Pres, CEO",P - Purchase,QUAD,$3.57,"+12,100","+$43,185","1,494,287",+1%,2021-05-18 09:56:20,2021-05-14
354,Bennington Charles Warren,Former Director,S - Sale,SOBR,$3.00,"-1,000","-$3,000","455,958",0%,2021-05-18 09:51:34,2021-05-14
355,Weaver Judith A,Dir,P - Purchase,ENBP,$21.88,+500,"+$10,940","6,735",+8%,2021-05-18 09:49:02,2021-05-17
356,Kuta Alexander Edward III,"EVP, Operations",S - Sale+OE,QURE,$31.66,"-6,000","-$189,960","68,871",-8%,2021-05-18 09:40:43,2021-05-17
357,Peer Developments Ltd,10%,S - Sale,CNXC,$145.50,"-262,003","-$38,121,437","3,597,885",-7%,2021-05-18 09:40:31,2021-05-17
358,Murai Kevin M,Dir,S - Sale+OE,SNX,$120.11,"-4,275","-$513,449","101,153",-4%,2021-05-18 09:21:08,2021-05-14
359,Silver Star Developments Ltd,10%,S - Sale,CNXC,$145.50,"-359,754","-$52,344,207","4,940,226",-7%,2021-05-18 09:17:58,2021-05-17
360,Simon William S,Dir,S - Sale,ASO,$35.30,"-31,007","-$1,094,446","5,782",-84%,2021-05-18 09:15:08,2021-05-17
361,Ghauri Najeeb,CEO,P - Purchase,NTWK,$3.90,"+9,500","+$37,020","794,701",+1%,2021-05-18 09:00:13,2021-05-17
362,Koch C James,"COB, 10%",S - Sale,SAM,"$1,116.48","-2,500","-$2,791,202","295,407",-1%,2021-05-18 08:54:48,2021-05-17
363,Wolfe Timothy J,"EVP, CFO",P - Purchase,KBAL,$12.98,"+10,000","+$129,820","10,000",New,2021-05-18 08:36:35,2021-05-17
364,Bianchi Stephen M,"CEO, Pres",P - Purchase,CZWI,$13.20,+500,"+$6,600","93,048",+1%,2021-05-18 08:18:03,2021-05-14
365,Korangy Shervin J,Dir,S - Sale,HAIN,$40.74,"-6,750","-$275,024","35,431",-16%,2021-05-18 08:05:36,2021-05-17
366,Wolfe Jeryl,Chief Supply Chain Officer,S - Sale,HAIN,$40.68,"-3,000","-$122,043",85,-97%,2021-05-18 08:02:14,2021-05-14
367,Gebski Christine,See Remarks,S - Sale,RGEN,$172.25,-445,"-$76,651","36,695",-1%,2021-05-18 07:52:56,2021-05-14
368,Kuriyel Ralf,"SVP, R, D",S - Sale,RGEN,$172.29,-710,"-$122,326","24,555",-3%,2021-05-18 07:50:05,2021-05-14
369,Snodgres Jon,CFO,S - Sale,RGEN,$172.60,-470,"-$81,122","31,893",-1%,2021-05-18 07:49:02,2021-05-14
370,Thompson Tommy G,Dir,P - Purchase,TXMD,$1.06,"+5,000","+$5,300","709,156",+1%,2021-05-18 06:55:24,2021-05-14
371,Takeda Pharmaceutical Co Ltd,10%,S - Sale,PHAT,$35.00,-100,"-$3,500","1,029,883",0%,2021-05-18 06:02:27,2021-05-14
0,Chowdhury Badrul A.,Chief Medical Officer,S - Sale+OE,SVRA,$1.56,"-50,000","-$77,870","150,000",-25%,2021-05-17 21:57:01,2021-05-17
1,Bothwell Ian T,"CFO, 10%",S - Sale,BPSR,$0.23,"-175,000","-$40,800","149,570,000",0%,2021-05-17 21:45:30,2021-05-13
2,Mitrani Albert,"Pres, 10%",S - Sale,BPSR,$0.23,"-175,000","-$41,100","286,605,190",0%,2021-05-17 21:45:28,2021-05-13
3,Mitrani Maria Ines,Chief Science Officer,S - Sale,BPSR,$0.23,"-175,000","-$40,755","286,605,190",0%,2021-05-17 21:45:18,2021-05-13
4,Shapiro George Craig,Chief Medical Officer,S - Sale,BPSR,$0.23,"-175,100","-$39,917","81,869,900",0%,2021-05-17 21:45:16,2021-05-13
5,Joice Judy R,"SVP Operations, Corp QA",S - Sale+OE,DRRX,$1.72,"-60,137","-$103,682","34,832",-63%,2021-05-17 21:37:43,2021-05-14
6,Kkr Renaissance Aggregator L.P.,10%,S - Sale,IR,$48.57,"-14,924,081","-$724,862,614","29,813,193",-33%,2021-05-17 21:31:41,2021-05-13
7,Kkr Group Partnership L.P.,10%,S - Sale,IR,$48.57,"-14,924,081","-$724,862,614","29,813,193",-33%,2021-05-17 21:30:54,2021-05-13
8,"Silver Lake Group, L.L.C.","Dir, 10%",P - Purchase,XM,$31.01,"+217,590","+$6,748,211","22,930,594",+1%,2021-05-17 21:17:46,2021-05-13
9,Hays Joseph Christopher,COO,S - Sale+OE,ZI,$40.48,"-13,572","-$549,443",0,-100%,2021-05-17 21:16:42,2021-05-13
10,Thomson Erin Ator,GC,S - Sale,STTK,$26.25,"-4,000","-$104,982","91,259",-4%,2021-05-17 21:10:44,2021-05-17
11,McDermut Martin S,CFO,S - Sale,RESN,$2.55,"-2,560","-$6,528","183,173",-1%,2021-05-17 21:10:42,2021-05-14
12,Neill Andrew R,CFO,S - Sale,STTK,$26.27,"-2,000","-$52,542","57,963",-3%,2021-05-17 21:08:32,2021-05-17
13,Schreiber Taylor,CEO,S - Sale,STTK,$26.13,"-27,072","-$707,494","2,646,739",-1%,2021-05-17 21:07:26,2021-05-13
14,Fenzi Neal,CTO,S - Sale,RESN,$2.54,"-2,134","-$5,420","550,534",0%,2021-05-17 21:06:06,2021-05-14
15,Hornblower Josiah,Dir,S - Sale,STTK,$26.12,"-27,521","-$718,855","3,326,220",-1%,2021-05-17 21:06:04,2021-05-13
16,Kelly Dylan,COO,S - Sale,RESN,$2.60,"-2,509","-$6,511","90,831",-3%,2021-05-17 21:01:34,2021-05-14
17,Heang Vichheka,Principal Accounting Officer,S - Sale,SPWR,$21.47,"-4,336","-$93,094",0,-100%,2021-05-17 21:00:24,2021-05-13
18,Zacharias Isaac,Chief Commercial Officer,S - Sale+OE,SWAV,$148.18,"-4,000","-$592,729","50,420",-7%,2021-05-17 20:57:35,2021-05-14
19,Gomez Alfredo,"VP, GC",S - Sale+OE,PRTS,$15.12,"-12,288","-$185,795","573,422",-2%,2021-05-17 20:57:10,2021-05-14
20,Page Lawrence,"Dir, 10%",S - Sale+OE,GOOG,"$2,259.68","-13,889","-$31,384,729","19,971,947",0%,2021-05-17 20:56:56,2021-05-13
21,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,FB,$313.72,"-52,700","-$16,532,898","2,275,432",-2%,2021-05-17 20:44:05,2021-05-14
22,Bvf Partners L P/il,See Remarks,P - Purchase,RAIN,$14.26,"+58,000","+$827,167","3,669,962",+2%,2021-05-17 20:43:55,2021-05-13
23,Zuckerberg Mark,"COB, CEO, 10%",S - Sale+OE,FB,$305.80,"-52,700","-$16,115,475","2,282,932",-2%,2021-05-17 20:40:34,2021-05-13
24,Taylor Ryan D.,See Remarks,S - Sale,PLTR,$18.61,-621,"-$11,554","1,419,026",0%,2021-05-17 20:40:02,2021-05-13
25,Bvf Partners L P/il,See Remarks,P - Purchase,RAIN,$16.86,"+1,133,309","+$19,103,380","88,226",-108%,2021-05-17 20:39:48,2021-04-23
26,Sankar Shyam,See Remarks,S - Sale,PLTR,$18.61,-561,"-$10,438","3,955,493",0%,2021-05-17 20:38:25,2021-05-13
27,"Searchlight Capital Partners II Gp, LLC",10%,S - Sale+OE,FOUR,$81.79,"-216,357","-$17,696,023","6,599,904",-3%,2021-05-17 20:37:32,2021-05-13
28,Karp Alexander C.,See Remarks,S - Sale,PLTR,$18.61,-499,"-$9,285","6,432,258",0%,2021-05-17 20:37:05,2021-05-13
29,Glazer David A.,See Remarks,S - Sale,PLTR,$18.61,-482,"-$8,968","2,917,434",0%,2021-05-17 20:36:06,2021-05-13
30,Cohen Stephen Andrew,See Remarks,S - Sale,PLTR,$18.61,-621,"-$11,554","139,150",0%,2021-05-17 20:35:18,2021-05-13
31,Freire Maria C,Dir,S - Sale,EXEL,$25.01,"-8,275","-$206,958","31,827",-21%,2021-05-17 20:15:43,2021-05-11
32,Marchesi Vincent T,Dir,S - Sale+OE,EXEL,$25.04,"-40,000","-$1,001,600","66,115",-38%,2021-05-17 20:13:22,2021-05-14
33,Carberry Marybeth,EVP of Business Operations,S - Sale,RESN,$2.58,"-6,513","-$16,774","83,621",-7%,2021-05-17 20:12:52,2021-05-14
34,Poste George,Dir,S - Sale,EXEL,$24.97,"-40,802","-$1,018,826","157,190",-21%,2021-05-17 20:11:54,2021-05-14
35,Bcp Gp Ltd,"Dir, 10%",S - Sale,EAF,$13.02,"-12,800,000","-$166,656,000","84,942,570",-13%,2021-05-17 20:11:20,2021-05-13
36,Bcp Gp Ltd,"Dir, 10%",S - Sale,EAF,$13.02,"-12,800,000","-$166,656,000","84,942,570",-13%,2021-05-17 20:05:51,2021-05-13
37,Bcp Gp Ltd,"Dir, 10%",S - Sale,EAF,$13.02,"-12,800,000","-$166,656,000","84,942,570",-13%,2021-05-17 20:01:38,2021-05-13
38,Hazelton Gregory C,"EVP, CFO",S - Sale,HE,$44.80,"-3,400","-$152,324","35,191",-9%,2021-05-17 20:01:01,2021-05-13
39,Hinson Andrew G,Dir,S - Sale,BLFS,$29.06,"-2,500","-$72,650","9,461",-21%,2021-05-17 20:00:50,2021-05-17
40,Berard Todd,CMO,S - Sale+OE,BLFS,$29.60,"-12,320","-$364,672","79,566",-13%,2021-05-17 20:00:38,2021-05-13
41,Trerotola Matthew L.,"Pres, CEO",S - Sale+OE,CFX,$43.14,"-200,000","-$8,628,400","305,708",-40%,2021-05-17 20:00:32,2021-05-14
42,Lo Francis,Chief People Officer,S - Sale+OE,ADPT,$33.80,"-2,000","-$67,600","23,104",-8%,2021-05-17 20:00:31,2021-05-14
43,Feight R Preston,CEO,S - Sale+OE,PCAR,$94.06,"-4,770","-$448,684","56,908",-8%,2021-05-17 19:51:55,2021-05-14
44,Zhou Rong,"EVP, Production Center",S - Sale+OE,AMPH,$19.71,"-18,119","-$357,170","194,634",-9%,2021-05-17 19:38:20,2021-05-13
45,Coulie Bernard,"Pres, CEO",S - Sale,PLRX,$28.64,"-3,500","-$100,224","508,157",-1%,2021-05-17 19:34:41,2021-05-14
46,Majors Michael Clay,"EVP - Investor Rel., Admin.",S - Sale+OE,GL,$105.97,"-12,000","-$1,271,618","28,133",-30%,2021-05-17 19:25:55,2021-05-14
47,Maraganore John,CEO,S - Sale+OE,ALNY,$130.78,"-33,979","-$4,443,725","217,898",-13%,2021-05-17 19:25:53,2021-05-13
48,Concannon William F,Dir,S - Sale,CRAI,$82.00,"-2,000","-$164,000","22,715",-8%,2021-05-17 19:16:36,2021-05-14
49,Hagan Joseph P,"Pres, CEO",S - Sale,RGLS,$0.89,"-4,186","-$3,726","316,292",-1%,2021-05-17 19:13:47,2021-05-17
50,Volkmer Bart,GC,S - Sale,DBX,$24.49,"-10,000","-$244,863","312,995",-3%,2021-05-17 19:13:14,2021-05-13
51,Aker Christopher Ray,"SVP, GC",S - Sale,RGLS,$0.89,-860,-$765,"41,754",-2%,2021-05-17 19:12:49,2021-05-17
52,Anderson Keith,CFO,S - Sale,AMWL,$10.94,"-69,077","-$755,944","1,796,513",-4%,2021-05-17 19:09:56,2021-05-13
53,Liken James W,Dir,P - Purchase,VAPO,$16.99,"+10,000","+$169,895","110,296",+10%,2021-05-17 19:09:05,2021-05-13
54,Yoder Amy,Dir,S - Sale+OE,CMP,$70.72,"-1,250","-$88,400","3,330",-27%,2021-05-17 19:08:34,2021-05-14
55,Conver Timothy E,Chairman of the Board,S - Sale,AVAV,$103.35,"-12,500","-$1,291,930","333,715",-4%,2021-05-17 19:04:30,2021-05-13
56,Baker Mark Alan,Chief Product Officer,S - Sale,OSTK,$72.20,-450,"-$32,490","4,035",-10%,2021-05-17 18:58:18,2021-05-17
57,Evans Paul J.,Dir,P - Purchase,HIL,$2.45,"+10,000","+$24,477","323,676",+3%,2021-05-17 18:51:20,2021-05-14
58,Rieker Harold L,"VP-Financial Reporting, PAO",S - Sale,LXU,$6.32,"-4,000","-$25,287","22,936",-15%,2021-05-17 18:47:54,2021-05-12
59,Cepak Tiffany Thom,Dir,P - Purchase,CRC,$24.45,"+10,000","+$244,500","57,850",+21%,2021-05-17 18:41:43,2021-05-17
60,Brooks Douglas E,Dir,P - Purchase,CRC,$24.47,"+3,000","+$73,410","35,711",+9%,2021-05-17 18:41:24,2021-05-17
61,Sapphire Holding S.A R.L.,10%,S - Sale+OE,WSC,$29.41,"-948,200","-$27,886,562","43,789,858",-2%,2021-05-17 18:35:55,2021-05-13
62,Robertson Stephen,"Dir, 10%",S - Sale+OE,WSC,$29.41,"-948,200","-$27,886,562","43,889,858",-2%,2021-05-17 18:35:08,2021-05-13
63,Sagansky Jeffrey,Dir,S - Sale+OE,WSC,$29.41,"-758,560","-$22,309,250","2,763,283",-22%,2021-05-17 18:34:11,2021-05-13
64,Newell Joe,Chief Operations Officer,S - Sale,ATRA,$15.00,"-3,500","-$52,500","131,424",-3%,2021-05-17 18:32:35,2021-05-17
65,Pritzker Jennifer N.,10%,P - Purchase,KIDS,$56.77,"+3,000","+$170,315","5,386,764",0%,2021-05-17 18:29:57,2021-05-13
66,Armes Joseph B,"COB, Pres, CEO",S - Sale+OE,CSWI,$126.94,"-2,000","-$253,878","95,483",-2%,2021-05-17 18:26:05,2021-05-17
67,Wang Yueou,Dir,S - Sale+OE,GDYN,$15.97,"-39,050","-$623,523","16,534",-70%,2021-05-17 18:25:30,2021-05-13
68,Desoer Barbara J,Dir,S - Sale+OE,DVA,$126.01,"-1,920","-$241,945","10,155",-16%,2021-05-17 18:25:28,2021-05-13
69,Hart Eric M.,CFO,S - Sale+OE,EXPE,$170.00,"-53,907","-$9,164,190","14,148",-79%,2021-05-17 18:23:33,2021-05-14
70,Eckel Robert A,"CEO, Pres",P - Purchase,AWRE,$3.51,"+10,000","+$35,100","153,422",+7%,2021-05-17 18:20:16,2021-05-14
71,Elliott R Sean,"VP, GC",S - Sale,LBRT,$14.50,"-4,000","-$58,000","167,296",-2%,2021-05-17 18:18:03,2021-05-14
72,Kemper J Mariner,"COB, CEO",S - Sale+OE,UMBF,$98.81,-304,"-$30,038","2,979,250",0%,2021-05-17 18:17:42,2021-05-14
73,Kemper J Mariner,"COB, CEO",S - Sale,UMBF,$98.58,"-4,360","-$429,787","2,968,379",0%,2021-05-17 18:15:58,2021-05-14
74,Klepper Robert Samuel,"SVP Marketing, Products",S - Sale,SSTI,$39.82,-860,"-$34,245","23,412",-4%,2021-05-17 18:15:37,2021-05-17
75,Wright Christopher A,"COB, CEO",S - Sale,LBRT,$13.97,"-60,000","-$838,128","3,724,752",-2%,2021-05-17 18:15:00,2021-05-13
76,Kemper J Mariner,"COB, CEO",S - Sale,UMBF,$98.31,"-5,045","-$495,974","2,972,739",0%,2021-05-17 18:12:30,2021-05-14
77,Canaan VIII LP,10%,S - Sale,LOV,$5.89,"-31,230","-$183,974","2,906,952",-1%,2021-05-17 18:12:18,2021-05-13
78,Kemper J Mariner,"COB, CEO",S - Sale,UMBF,$98.08,"-5,859","-$574,668","2,977,784",0%,2021-05-17 18:10:15,2021-05-13
79,Hess John B,"COB, CEO",S - Sale,HESM,$23.32,"-258,550","-$6,029,948",0,-100%,2021-05-17 18:09:46,2021-05-13
